# Parity goldens — the cutover's oracle; see goldens_test.go.
# Regenerate: GOOPG_UPDATE_GOLDENS=1 go test ./internal/sqlparser/
# 742 statements
ABORT	RollbackStmt{}
CREATE TABLE fk (f1 int, FOREIGN KEY (f1) REFERENCES pk MATCH SIMPLE ON DELETE CASCADE)	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="fk"},Columns=[ColumnDef{Name="f1",Type=ColumnType{Schema="",Name="int",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅}],PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=∅,OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=∅,ExecuteSource=∅,WithNoData=false,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=[TableForeignKeyDef{Name="",Columns=["f1"],RefTable=ObjectName{Schema="",Name="pk"},RefColumns=∅,OnDelete=2,OnUpdate=0,OnDeleteSetCols=∅,Deferrable=false,InitiallyDeferred=false,MatchFull=false,NotValid=false,NotEnforced=false}],TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=["f1"],ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit=""}
CREATE TABLE fk (f1 int, FOREIGN KEY (f1) REFERENCES pk ON UPDATE SET NULL (f1))	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="fk"},Columns=[ColumnDef{Name="f1",Type=ColumnType{Schema="",Name="int",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅}],PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=∅,OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=∅,ExecuteSource=∅,WithNoData=false,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=[TableForeignKeyDef{Name="",Columns=["f1"],RefTable=ObjectName{Schema="",Name="pk"},RefColumns=∅,OnDelete=0,OnUpdate=3,OnDeleteSetCols=∅,Deferrable=false,InitiallyDeferred=false,MatchFull=false,NotValid=false,NotEnforced=false}],TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=["f1"],ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit=""}
CREATE TABLE fk (tid int, FOREIGN KEY (tid) REFERENCES pk ON DELETE SET DEFAULT (tid) ON UPDATE CASCADE)	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="fk"},Columns=[ColumnDef{Name="tid",Type=ColumnType{Schema="",Name="int",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅}],PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=∅,OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=∅,ExecuteSource=∅,WithNoData=false,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=[TableForeignKeyDef{Name="",Columns=["tid"],RefTable=ObjectName{Schema="",Name="pk"},RefColumns=∅,OnDelete=4,OnUpdate=2,OnDeleteSetCols=["tid"],Deferrable=false,InitiallyDeferred=false,MatchFull=false,NotValid=false,NotEnforced=false}],TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=["tid"],ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit=""}
CREATE TABLE fk (tid int, id int, foo int, FOREIGN KEY (tid, id) REFERENCES pk ON DELETE SET NULL (bar))	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="fk"},Columns=[ColumnDef{Name="tid",Type=ColumnType{Schema="",Name="int",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},ColumnDef{Name="id",Type=ColumnType{Schema="",Name="int",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},ColumnDef{Name="foo",Type=ColumnType{Schema="",Name="int",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅}],PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=∅,OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=∅,ExecuteSource=∅,WithNoData=false,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=[TableForeignKeyDef{Name="",Columns=["tid","id"],RefTable=ObjectName{Schema="",Name="pk"},RefColumns=∅,OnDelete=3,OnUpdate=0,OnDeleteSetCols=["bar"],Deferrable=false,InitiallyDeferred=false,MatchFull=false,NotValid=false,NotEnforced=false}],TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=["tid","id","foo"],ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit=""}
CREATE TABLE g (a int PRIMARY KEY, b int GENERATED BY DEFAULT AS (a * 2) STORED)	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="g"},Columns=[ColumnDef{Name="a",Type=ColumnType{Schema="",Name="int",Args=∅,IsArray=false},NotNull=true,Primary=true,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},ColumnDef{Name="b",Type=ColumnType{Schema="",Name="int",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=true,GeneratedExpr="a * 2",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅}],PrimaryKey=["a"],With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=∅,OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=∅,ExecuteSource=∅,WithNoData=false,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=∅,TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=["a","b"],ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit=""}
CREATE TABLE g (a int, b int GENERATED ALWAYS AS (Upper(a) || 'x') VIRTUAL)	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="g"},Columns=[ColumnDef{Name="a",Type=ColumnType{Schema="",Name="int",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},ColumnDef{Name="b",Type=ColumnType{Schema="",Name="int",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=true,GeneratedExpr="upper(a) || 'x'",GeneratedVirtual=true,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅}],PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=∅,OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=∅,ExecuteSource=∅,WithNoData=false,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=∅,TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=["a","b"],ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit=""}
CREATE TABLE g (a int, b int GENERATED ALWAYS AS (a * 2))	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="g"},Columns=[ColumnDef{Name="a",Type=ColumnType{Schema="",Name="int",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},ColumnDef{Name="b",Type=ColumnType{Schema="",Name="int",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=true,GeneratedExpr="a * 2",GeneratedVirtual=true,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅}],PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=∅,OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=∅,ExecuteSource=∅,WithNoData=false,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=∅,TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=["a","b"],ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit=""}
CREATE TABLE g (a int, b int GENERATED ALWAYS AS (a*2) STORED)	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="g"},Columns=[ColumnDef{Name="a",Type=ColumnType{Schema="",Name="int",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},ColumnDef{Name="b",Type=ColumnType{Schema="",Name="int",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=true,GeneratedExpr="a * 2",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅}],PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=∅,OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=∅,ExecuteSource=∅,WithNoData=false,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=∅,TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=["a","b"],ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit=""}
CREATE TABLE nulltest (col1 dnotnull, col2 dnotnull NULL)	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="nulltest"},Columns=[ColumnDef{Name="col1",Type=ColumnType{Schema="",Name="dnotnull",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},ColumnDef{Name="col2",Type=ColumnType{Schema="",Name="dnotnull",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅}],PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=∅,OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=∅,ExecuteSource=∅,WithNoData=false,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=∅,TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=["col1","col2"],ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit=""}
CREATE TABLE nv (check (d between '2009-01-01'::date and '2009-12-31'::date))	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="nv"},Columns=∅,PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=∅,OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=∅,ExecuteSource=∅,WithNoData=false,TableChecks=["d between '2009-01-01' :: date and '2009-12-31' :: date"],TableCheckNoInherit=[false],TableCheckNotEnforced=[false],TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=∅,TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=∅,ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit=""}
